emprestimo_id;cliente_id;valor_emprestado;valor_parcela;num_parcelas;taxa_juros;data_concessao;status
1;5553;11759.09;506.13;24;3.3;2022-12-01;QUITADO
2;7308;6534.39;564.3;12;3.63;2023-04-12;ATIVO
3;7989;7815.72;167.19;48;2.68;2021-10-28;QUITADO
4;9420;2495.29;73.09;36;5.45;2023-02-23;ATIVO
5;9127;3085.38;68.19;48;6.08;2021-05-30;ATIVO
6;2967;5116.01;146.87;36;3.35;2023-09-14;ATIVO
7;8706;1236.9;27.61;48;7.14;2021-10-26;ATIVO
8;6662;41325.46;2326.62;18;1.34;2024-03-16;QUITADO
9;9625;7428.69;1300.27;6;5.02;2022-05-31;ATIVO
10;9091;6329.14;282.94;24;7.29;2024-01-14;INADIMPLENTE
11;3149;4907.08;283.98;18;4.17;2023-11-09;QUITADO
12;7201;18080.88;3074.95;6;2.04;2021-12-03;ATIVO
13;3677;2178.01;383.51;6;5.65;2024-09-29;ATIVO
14;6830;9250.71;397.78;24;3.2;2023-03-09;QUITADO
15;8816;913.63;39.51;24;3.78;2023-10-29;INADIMPLENTE
16;1038;1109.11;96.5;12;4.41;2024-06-07;ATIVO
17;4347;19420.36;3306.96;6;2.17;2021-04-09;ATIVO
18;2463;8128.64;1400.7;6;3.39;2024-06-07;ATIVO
19;674;1100.78;24.41;48;6.42;2024-05-27;ATIVO
20;5480;15016.88;2544.11;6;1.65;2023-07-18;QUITADO
21;468;4366.59;93.08;48;2.32;2023-12-05;ATIVO
22;1807;4868.47;211.74;24;4.38;2024-08-07;QUITADO
23;1258;3729.31;79.5;48;2.32;2023-01-25;ATIVO
24;5993;6316.2;1073.12;6;1.94;2023-10-12;QUITADO
25;1428;31947.61;1345.93;24;1.11;2021-11-29;QUITADO
26;5113;47431.89;3985.86;12;0.84;2023-04-06;QUITADO
27;6941;3587.35;319.66;12;6.93;2024-05-06;INADIMPLENTE
28;5614;5875.81;988.12;6;0.9;2023-10-05;QUITADO
29;3713;6695.05;297.82;24;6.76;2021-04-08;ATIVO
30;7495;11743.01;337.48;36;3.46;2021-05-17;QUITADO
31;4195;2476.59;110.37;24;6.96;2023-12-10;QUITADO
32;7717;2470.99;219.38;12;6.54;2022-02-11;ATIVO
33;7268;2240.85;194.97;12;4.41;2022-10-06;INADIMPLENTE
34;5931;18681.61;1591.36;12;2.22;2022-12-08;ATIVO
35;5378;3509.84;157.39;24;7.62;2024-01-21;ATIVO
36;7536;3981.91;357.28;12;7.67;2021-12-03;QUITADO
37;6265;2493.3;213.72;12;2.86;2021-01-01;QUITADO
38;7664;2141.53;93.88;24;5.21;2022-05-03;QUITADO
39;645;7846.58;467.35;18;7.21;2021-09-29;ATIVO
40;9682;11376.14;647.43;18;2.44;2023-02-10;QUITADO
41;7304;2136.9;370.57;6;4.05;2024-09-29;ATIVO
42;3334;2803.24;82.5;36;5.95;2021-04-11;ATIVO
43;3638;12591.21;354.34;36;1.31;2022-10-24;ATIVO
44;9376;6980.92;402.26;18;3.72;2023-11-12;QUITADO
45;6162;6630.96;286.49;24;3.69;2022-07-19;INADIMPLENTE
46;7377;2005.1;85.28;24;2.07;2022-02-24;QUITADO
47;7605;42440.02;1790.97;24;1.28;2023-08-22;QUITADO
48;1637;18626.0;796.03;24;2.57;2023-10-21;ATIVO
49;7573;1777.39;157.74;12;6.5;2021-06-03;QUITADO
50;942;1711.08;295.33;6;3.56;2023-10-04;INADIMPLENTE
51;4332;12190.87;1049.33;12;3.29;2021-07-29;ATIVO
52;959;2458.24;108.91;24;6.33;2021-12-18;QUITADO
53;5487;20306.19;856.24;24;1.2;2024-11-07;ATIVO
54;9630;5443.43;232.96;24;2.71;2022-04-20;ATIVO
55;6217;4545.2;813.89;6;7.44;2023-11-22;INADIMPLENTE
56;7557;5611.49;325.15;18;4.3;2023-04-17;ATIVO
57;779;5349.26;226.36;24;1.56;2021-02-16;ATIVO
58;86;5771.14;169.48;36;5.72;2024-07-27;ATIVO
59;7145;5605.59;985.0;6;5.43;2023-07-18;ATIVO
60;7474;2160.69;92.24;24;2.46;2022-04-29;ATIVO
61;5904;4387.08;393.19;12;7.55;2021-02-01;ATIVO
62;152;1042.78;29.61;36;2.23;2021-10-22;ATIVO
63;197;6805.1;589.09;12;3.88;2022-04-04;ATIVO
64;2325;2959.18;262.21;12;6.33;2021-06-26;INADIMPLENTE
65;4303;13896.2;299.58;48;3.48;2023-01-20;QUITADO
66;3837;7365.97;311.61;24;1.53;2021-08-03;ATIVO
67;5492;3537.01;314.17;12;6.59;2021-05-30;QUITADO
68;4022;6275.68;553.57;12;5.85;2021-05-29;ATIVO
69;3402;1540.58;46.18;36;7.92;2023-03-26;INADIMPLENTE
70;8735;6162.22;1107.76;6;7.86;2024-02-16;INADIMPLENTE
71;4444;15678.85;894.39;18;2.68;2022-04-27;QUITADO
72;216;5067.21;296.8;18;5.43;2024-01-25;QUITADO
73;4709;47888.91;4047.01;12;1.41;2021-03-19;QUITADO
74;4841;6487.89;193.43;36;7.33;2024-11-17;ATIVO
75;7985;5467.35;162.17;36;6.78;2023-06-07;QUITADO
76;9767;31920.03;674.84;48;1.48;2022-05-29;ATIVO
77;9418;6545.48;559.15;12;2.51;2022-09-03;QUITADO
78;5261;3032.91;67.91;48;7.47;2024-06-02;QUITADO
79;907;33328.22;702.39;48;1.16;2021-06-22;QUITADO
80;4623;3888.98;113.19;36;4.78;2023-11-06;ATIVO
81;6230;6576.95;1157.1;6;5.56;2024-11-24;ATIVO
82;3754;2741.65;234.89;12;2.81;2022-04-27;QUITADO
83;9308;3512.4;157.37;24;7.53;2023-09-06;ATIVO
84;5442;6268.3;136.31;48;4.38;2022-01-18;ATIVO
85;5995;32701.23;1831.63;18;0.82;2023-02-19;QUITADO
86;1324;7726.43;1378.01;6;7.01;2024-07-09;ATIVO
87;2498;3960.54;117.15;36;6.49;2023-12-26;ATIVO
88;2266;11297.56;321.6;36;2.48;2024-03-22;ATIVO
89;4920;4293.54;96.26;48;7.62;2021-11-12;ATIVO
90;1046;3460.26;99.17;36;3.17;2024-03-27;QUITADO
91;2388;7956.44;1384.16;6;4.38;2024-08-10;INADIMPLENTE
92;4474;5611.72;990.38;6;5.89;2023-03-28;ATIVO
93;5564;5617.54;498.09;12;6.4;2023-01-26;INADIMPLENTE
94;3802;6117.22;1035.85;6;1.6;2024-09-20;ATIVO
95;1190;3202.68;143.49;24;7.53;2023-02-20;QUITADO
96;7009;7305.66;313.41;24;2.96;2024-03-11;QUITADO
97;2025;13787.21;1167.09;12;1.58;2022-07-27;ATIVO
98;7944;12915.82;272.93;48;1.43;2022-12-03;ATIVO
99;4932;6098.13;524.44;12;3.2;2023-12-09;QUITADO
100;2449;4951.96;434.41;12;5.27;2021-10-15;ATIVO
101;7450;16489.31;936.32;18;2.21;2022-01-16;QUITADO
102;3357;33527.71;2828.9;12;1.25;2024-10-31;QUITADO
103;1606;30922.39;1738.01;18;1.17;2023-03-13;ATIVO
104;8044;5221.75;448.9;12;3.16;2024-01-24;QUITADO
105;9202;7428.28;1334.86;6;7.82;2022-11-28;ATIVO
106;3960;2455.46;53.88;48;5.32;2024-10-25;QUITADO
107;3519;1899.51;113.57;18;7.62;2023-09-17;ATIVO
108;4369;18955.46;804.5;24;1.86;2021-12-10;QUITADO
109;2667;4265.29;122.56;36;3.44;2022-03-30;ATIVO
110;8619;2167.03;64.66;36;7.41;2024-05-30;QUITADO
111;4605;8030.99;689.73;12;3.06;2023-10-31;QUITADO
112;27;5829.61;336.76;18;3.98;2023-01-20;ATIVO
113;1457;5343.66;153.81;36;3.62;2022-06-23;ATIVO
114;8515;7621.83;228.23;36;7.8;2022-10-27;ATIVO
115;1040;7088.39;299.87;24;1.53;2024-10-24;QUITADO
116;1963;2462.8;430.13;6;4.79;2022-02-02;QUITADO
117;1067;12840.43;273.15;48;2.11;2023-11-16;QUITADO
118;6447;1058.82;189.19;6;7.21;2023-09-13;INADIMPLENTE
119;2002;4131.48;353.59;12;2.7;2023-12-05;QUITADO
120;3506;7338.69;630.94;12;3.17;2022-07-06;ATIVO
121;7207;1145.08;68.11;18;7.07;2022-03-07;INADIMPLENTE
122;1263;2675.94;152.07;18;2.29;2023-07-19;QUITADO
123;2883;16724.39;1417.67;12;1.72;2021-08-08;QUITADO
124;6186;4296.68;121.66;36;1.93;2022-03-16;QUITADO
125;1695;10041.26;287.68;36;3.14;2021-07-19;QUITADO
126;6521;3696.88;214.77;18;4.57;2021-04-04;ATIVO
127;8778;5155.78;444.99;12;3.57;2024-11-28;ATIVO
128;2162;41107.21;2315.71;18;1.4;2021-06-28;ATIVO
129;6404;3153.95;136.22;24;3.66;2023-02-24;ATIVO
130;4435;19011.53;3255.09;6;2.73;2024-11-26;QUITADO
131;9563;4046.66;715.99;6;6.16;2024-05-24;QUITADO
132;7185;10923.55;461.11;24;1.31;2021-01-14;QUITADO
133;9619;1473.32;42.86;36;4.72;2023-12-15;INADIMPLENTE
134;8930;15572.73;665.86;24;2.62;2021-11-30;QUITADO
135;9879;7513.8;224.39;36;7.51;2023-05-27;QUITADO
136;2895;7666.6;224.4;36;5.37;2023-11-04;INADIMPLENTE
137;9836;6157.17;180.22;36;5.37;2023-06-25;QUITADO
138;7578;6969.45;608.43;12;4.76;2023-10-07;QUITADO
139;4586;4326.56;96.16;48;6.68;2024-10-02;QUITADO
140;8925;13011.28;276.65;48;2.06;2024-04-19;QUITADO
141;3704;3227.82;189.01;18;5.4;2024-12-30;QUITADO
142;3781;2660.24;79.28;36;7.29;2021-09-21;ATIVO
143;5910;12673.27;2156.78;6;2.11;2021-06-19;ATIVO
144;1305;9134.04;523.28;18;3.12;2021-02-22;QUITADO
145;6871;17169.25;2912.19;6;1.77;2021-03-29;ATIVO
146;5776;18807.86;395.4;48;0.91;2022-04-16;ATIVO
147;7751;17689.75;3027.01;6;2.67;2022-04-30;QUITADO
148;959;7080.29;1228.31;6;4.09;2022-10-30;ATIVO
149;717;2315.61;398.44;6;3.24;2022-10-26;ATIVO
150;7978;1642.0;139.82;12;2.18;2024-07-21;ATIVO
151;2289;4666.6;413.58;12;6.35;2024-10-28;INADIMPLENTE
152;4968;6761.99;191.03;36;1.7;2023-12-11;ATIVO
153;7252;8330.69;237.73;36;2.73;2023-10-02;ATIVO
154;6183;19298.81;409.26;48;1.79;2022-03-31;ATIVO
155;4899;18078.51;770.97;24;2.35;2022-08-23;ATIVO
156;3711;1622.79;287.75;6;6.39;2021-09-23;QUITADO
157;2567;10790.97;229.83;48;2.23;2024-12-12;QUITADO
158;4070;3266.26;283.76;12;4.25;2021-05-23;ATIVO
159;151;6540.39;577.03;12;5.87;2024-12-20;ATIVO
160;5581;41736.02;879.76;48;1.18;2021-10-01;QUITADO
161;3495;2195.4;186.39;12;1.88;2024-05-27;ATIVO
162;4171;16982.17;2881.03;6;1.79;2024-07-07;ATIVO
163;1957;2759.48;117.4;24;2.11;2021-01-17;ATIVO
164;2775;4396.93;196.91;24;7.48;2022-06-22;ATIVO
165;8014;4875.18;138.78;36;2.48;2023-08-07;QUITADO
166;9775;4493.85;196.7;24;5.05;2023-04-08;ATIVO
167;5526;8919.14;375.94;24;1.16;2021-12-29;QUITADO
168;9752;7248.89;323.3;24;7.04;2023-08-09;ATIVO
169;5074;6101.2;355.7;18;4.94;2024-02-26;ATIVO
170;6021;10192.83;436.42;24;2.76;2021-11-13;ATIVO
171;6513;18900.62;1083.95;18;3.23;2021-10-19;ATIVO
172;1968;10707.64;229.19;48;2.74;2023-07-18;QUITADO
173;8760;13495.88;1150.07;12;2.26;2021-07-29;QUITADO
174;1836;11438.11;974.91;12;2.28;2023-06-20;ATIVO
175;5274;13262.99;1143.05;12;3.42;2021-05-10;ATIVO
176;5176;5086.3;217.04;24;2.41;2022-03-21;QUITADO
177;8146;5415.47;485.9;12;7.67;2021-03-01;ATIVO
178;2077;4278.33;121.4;36;2.15;2024-03-06;QUITADO
179;4501;5067.87;218.17;24;3.32;2021-12-17;QUITADO
180;4261;5996.04;359.1;18;7.8;2024-09-08;ATIVO
181;1783;2431.89;139.44;18;3.21;2022-04-29;ATIVO
182;3028;3733.59;319.25;12;2.61;2022-10-28;ATIVO
183;6845;5768.53;511.67;12;6.44;2024-03-28;ATIVO
184;7845;11263.11;645.81;18;3.21;2024-02-13;QUITADO
185;5037;6068.79;1045.65;6;3.38;2023-09-29;ATIVO
186;100;9797.52;210.14;48;2.95;2023-10-07;INADIMPLENTE
187;4643;16356.59;926.33;18;1.94;2022-05-22;ATIVO
188;5192;4782.83;286.28;18;7.74;2022-06-04;QUITADO
189;7317;7648.08;338.11;24;6.1;2024-06-05;QUITADO
190;7638;3213.1;137.8;24;2.93;2024-05-21;QUITADO
191;4365;17351.67;745.76;24;3.15;2021-01-06;ATIVO
192;8157;1807.48;314.32;6;4.34;2021-11-28;INADIMPLENTE
193;6857;5683.3;160.41;36;1.61;2023-08-18;QUITADO
194;8298;7329.98;163.28;48;6.92;2021-08-19;QUITADO
195;9976;5809.39;337.14;18;4.46;2021-10-11;ATIVO
196;602;11607.93;331.02;36;2.66;2022-05-13;ATIVO
197;6646;6263.53;131.65;48;0.89;2021-07-21;QUITADO
198;4510;3232.3;70.11;48;4.11;2021-04-22;QUITADO
199;9176;1799.5;317.82;6;5.97;2022-06-28;ATIVO
200;9742;4167.09;92.82;48;6.92;2023-08-12;QUITADO
201;9736;4294.37;126.24;36;5.83;2023-06-17;QUITADO
202;3293;14476.36;304.73;48;1.04;2024-12-14;QUITADO
203;5910;13679.61;784.75;18;3.26;2022-01-14;QUITADO
204;5954;11164.8;1897.46;6;1.97;2021-03-24;ATIVO
205;574;2585.98;150.0;18;4.41;2022-04-29;ATIVO
206;9155;13262.73;380.75;36;3.35;2024-03-21;ATIVO
207;811;9744.08;552.92;18;2.14;2021-11-30;QUITADO
208;2599;17568.13;504.64;36;3.41;2021-07-11;QUITADO
209;4759;11714.69;328.08;36;0.82;2021-12-09;QUITADO
210;4888;5973.25;177.55;36;7.01;2022-12-15;ATIVO
211;6779;1193.56;105.92;12;6.49;2023-09-06;INADIMPLENTE
212;7602;7008.93;203.94;36;4.75;2022-01-30;ATIVO
213;8120;42046.21;7066.57;6;0.84;2024-03-26;ATIVO
214;4366;4025.72;353.49;12;5.37;2024-11-07;QUITADO
215;2962;2765.66;473.34;6;2.69;2021-10-25;QUITADO
216;9486;33498.08;705.41;48;1.08;2021-11-07;ATIVO
217;7348;3990.69;84.58;48;1.73;2024-12-05;ATIVO
218;6447;3575.84;80.32;48;7.82;2021-10-13;ATIVO
219;9499;12510.91;264.84;48;1.61;2024-10-11;QUITADO
220;4526;3141.48;133.09;24;1.68;2021-08-03;QUITADO
221;5650;1855.3;321.83;6;4.08;2024-06-18;ATIVO
222;283;25092.1;529.6;48;1.31;2022-12-04;ATIVO
223;1545;7441.48;330.15;24;6.48;2022-05-25;ATIVO
224;4412;12836.51;272.51;48;1.9;2022-03-15;QUITADO
225;5160;30734.77;1291.24;24;0.83;2023-02-18;ATIVO
226;9786;11186.82;238.12;48;2.17;2022-01-02;ATIVO
227;3388;7076.54;414.96;18;5.55;2023-12-03;QUITADO
228;6992;15522.84;877.13;18;1.71;2021-12-27;QUITADO
229;6925;6404.56;180.93;36;1.7;2024-10-30;ATIVO
230;4260;4436.12;259.46;18;5.28;2021-01-18;INADIMPLENTE
231;53;7206.15;616.43;12;2.65;2021-11-04;ATIVO
232;5960;8135.96;1392.47;6;2.69;2024-04-26;QUITADO
233;2697;17090.59;967.42;18;1.89;2023-02-19;QUITADO
234;616;995.13;22.24;48;7.28;2024-09-03;QUITADO
235;9198;7480.26;161.31;48;3.51;2024-09-27;ATIVO
236;5258;7559.54;161.65;48;2.64;2024-04-09;QUITADO
237;1987;1324.68;226.28;6;2.49;2022-04-14;ATIVO
238;4404;1389.88;83.28;18;7.86;2022-01-26;ATIVO
239;9004;3192.62;186.96;18;5.41;2024-01-11;ATIVO
240;9886;2802.09;245.53;12;5.15;2022-03-11;QUITADO
241;3748;2445.18;437.32;6;7.31;2021-11-16;INADIMPLENTE
242;3727;7925.75;1368.78;6;3.62;2023-05-16;QUITADO
243;4144;12670.77;537.19;24;1.75;2022-04-18;ATIVO
244;7584;2584.48;228.32;12;6.01;2024-05-11;ATIVO
