evento_id;cliente_id;emprestimo_id;tipo_evento;data_evento;valor_em_risco
1;9091;10;ATRASO_30;2024-02-13;6329.14
2;9091;10;ATRASO_60;2024-03-14;5063.31
3;9091;10;ATRASO_90;2024-04-13;3797.48
4;8816;15;ATRASO_30;2023-11-28;913.63
5;8816;15;ATRASO_60;2023-12-28;730.9
6;8816;15;ATRASO_90;2024-01-27;548.18
7;8816;15;CALOTE;2024-02-26;365.45
8;6941;27;ATRASO_30;2024-06-05;3587.35
9;6941;27;ATRASO_60;2024-07-05;2869.88
10;7268;33;ATRASO_30;2022-11-05;2240.85
11;7268;33;ATRASO_60;2022-12-05;1792.68
12;7268;33;ATRASO_90;2023-01-04;1344.51
13;7268;33;CALOTE;2023-02-03;896.34
14;6162;45;ATRASO_90;2022-10-17;3978.58
15;6162;45;CALOTE;2022-11-16;2652.38
16;942;50;ATRASO_60;2023-12-03;1368.86
17;942;50;ATRASO_90;2024-01-02;1026.65
18;6217;55;ATRASO_30;2023-12-22;4545.2
19;6217;55;ATRASO_60;2024-01-21;3636.16
20;6217;55;CALOTE;2024-03-21;1818.08
21;2325;64;ATRASO_30;2021-07-26;2959.18
22;2325;64;ATRASO_60;2021-08-25;2367.34
23;2325;64;ATRASO_90;2021-09-24;1775.51
24;2325;64;CALOTE;2021-10-24;1183.67
25;3402;69;ATRASO_30;2023-04-25;1540.58
26;3402;69;CALOTE;2023-07-24;616.23
27;8735;70;ATRASO_30;2024-03-17;6162.22
28;8735;70;ATRASO_90;2024-05-16;3697.33
29;8735;70;CALOTE;2024-06-15;2464.89
30;2388;91;ATRASO_30;2024-09-09;7956.44
31;2388;91;ATRASO_60;2024-10-09;6365.15
32;2388;91;ATRASO_90;2024-11-08;4773.86
33;2388;91;CALOTE;2024-12-08;3182.58
34;5564;93;ATRASO_60;2023-03-27;4494.03
35;5564;93;ATRASO_90;2023-04-26;3370.52
36;6447;118;ATRASO_60;2023-11-12;847.06
37;6447;118;CALOTE;2024-01-11;423.53
38;7207;121;ATRASO_60;2022-05-06;916.06
39;7207;121;ATRASO_90;2022-06-05;687.05
40;7207;121;CALOTE;2022-07-05;458.03
41;9619;133;ATRASO_60;2024-02-13;1178.66
